STARTED,ID,german,blob,order_1,order_2,VR06,VR17,VR02_01,VR02_02,VR02_03,VR02_04,VR02_05,VR02_06,VR02_06a,VR02_07,VR13_01,VR13_02,VR13_03,VR13_04,VR13_05,VR13_06,VR13_06a,VR13_07,VR03_01,VR03_02,VR03_03,VR03_06,VR14_01,VR14_02,VR14_03,VR14_06,VR05_01,VR05_02,VR05_03,VR05_06,VR05_07,VR05_08,VR05_08a,VR05_09,VR16_01,VR16_02,VR16_03,VR16_06,VR16_07,VR16_08,VR16_08a,VR16_09,SSQ_N_FP,SSQ_O_FP,SSQ_D_FP,SSQ_TS_FP,SSQ_N_H,SSQ_O_H,SSQ_D_H,SSQ_TS_H,SSQ_N_AVG,SSQ_O_AVG,SSQ_D_AVG,SSQ_TS_AVG,P_FP,P_H,P_AVG,EB_EL_FP,EB_PA_FP,EB_EL_H,EB_PA_H,EB_SP_FP,EB_SP_H,EB_SP_AVG,EB_SL_FP,EB_A_FP,EB_O_FP,EB_SL_H,EB_A_H,EB_O_H,EB_EB_FP,EB_EB_H,EB_EB_AVG,H_0_MS,H_1_MS,H_2_MS,H_3_MS,H_4_MS,H_AVG_MS,FP_0_MS,FP_1_MS,FP_2_MS,FP_3_MS,FP_4_MS,FP_AVG_MS
2021-11-29 08:59:04,011,1,1,02413,04312,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,76.32,37.9,55.68,635.426,124.01999999999998,53.06,69.6,922.5831999999999,100.16999999999999,45.480000000000004,62.64,779.0046,123.0,116.0,119.5,16.0,17.0,11.0,16.0,33.0,27.0,30.0,5.0,13.0,12.0,9.0,12.0,10.0,30.0,31.0,30.5,1,3,3,4,4,3.0,1,1,1,1,6,2.0
2021-11-29 11:34:20,012,1,0,02431,04321,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,28.619999999999997,30.32,13.92,272.4964,28.619999999999997,22.740000000000002,27.84,296.208,28.619999999999997,26.53,20.88,284.35220000000004,113.0,111.0,112.0,16.0,14.0,14.0,16.0,30.0,30.0,30.0,8.0,15.0,11.0,6.0,10.0,13.0,34.0,29.0,31.5,0,2,0,0,0,0.4,0,1,0,1,0,0.4
2021-11-29 13:43:31,013,1,1,01234,03124,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,"Rhytm Games (osu!), Platformer (Mario)",1.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,150.0,154.5,20.0,17.0,20.0,13.0,37.0,33.0,35.0,6.0,18.0,14.0,7.0,13.0,10.0,38.0,30.0,34.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-30 08:16:06,014,1,0,01243,03142,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,22.740000000000002,41.76,276.9096,0.0,22.740000000000002,27.84,189.16920000000002,4.77,22.740000000000002,34.8,233.0394,91.0,119.0,105.0,11.0,11.0,16.0,14.0,22.0,30.0,26.0,7.0,10.0,10.0,6.0,10.0,13.0,27.0,29.0,28.0,0,0,0,1,0,0.2,0,1,0,1,1,0.6
2021-11-30 10:34:10,015,1,1,01324,03214,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,19.08,22.740000000000002,41.76,312.5892,28.619999999999997,37.9,41.76,404.96720000000005,23.849999999999998,30.32,41.76,358.7782,139.0,148.0,143.5,12.0,13.0,12.0,17.0,25.0,29.0,27.0,3.0,8.0,11.0,7.0,15.0,12.0,22.0,34.0,28.0,0,1,1,1,1,0.8,1,1,0,0,2,0.8
2021-12-01 09:40:49,016,1,0,01342,03241,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,RPG,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,22.740000000000002,27.84,189.16920000000002,0.0,15.16,13.92,108.75919999999999,0.0,18.950000000000003,20.88,148.9642,122.0,128.0,125.0,12.0,14.0,9.0,15.0,26.0,24.0,25.0,5.0,10.0,12.0,6.0,11.0,11.0,27.0,28.0,27.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-12-01 11:16:15,017,1,1,01423,03412,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,Solitaire,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,7.58,0.0,28.349200000000003,0.0,7.58,0.0,28.349200000000003,0.0,7.58,0.0,28.349200000000003,133.0,132.0,132.5,7.0,14.0,4.0,11.0,21.0,15.0,18.0,3.0,10.0,6.0,6.0,10.0,5.0,19.0,21.0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-12-01 13:58:49,018,1,0,01432,03421,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,2.0,1.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,19.08,7.58,0.0,99.7084,9.54,15.16,0.0,92.378,14.309999999999999,11.370000000000001,0.0,96.0432,111.0,118.0,114.5,15.0,14.0,5.0,13.0,29.0,18.0,23.5,5.0,11.0,9.0,6.0,11.0,8.0,25.0,25.0,25.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-12-02 08:58:08,019,1,1,02134,04123,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,"Mobas, Strategiespiele, Rollenspiele",1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,15.16,13.92,144.4388,9.54,22.740000000000002,13.92,172.788,9.54,18.950000000000003,13.92,158.6134,119.0,124.0,121.5,13.0,12.0,12.0,12.0,25.0,24.0,24.5,5.0,8.0,12.0,6.0,14.0,10.0,25.0,30.0,27.5,0,2,2,2,2,1.6,0,2,2,3,3,2.0
2021-12-02 13:53:15,020,1,0,02143,04132,1.0,,2.0,1.0,2.0,2.0,1.0,2.0,League of Legends,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,22.740000000000002,13.92,172.788,9.54,30.32,27.84,253.19800000000004,9.54,26.53,20.88,212.99300000000002,127.0,105.0,116.0,14.0,14.0,14.0,10.0,28.0,24.0,26.0,5.0,15.0,10.0,5.0,13.0,9.0,30.0,27.0,28.5,1,1,1,1,1,1.0,0,0,0,0,0,0.0
2021-12-03 09:12:29,021,1,1,02314,04213,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,7.58,0.0,28.349200000000003,0.0,7.58,13.92,80.41000000000001,0.0,7.58,6.96,54.37960000000001,130.0,109.0,119.5,11.0,17.0,11.0,14.0,28.0,25.0,26.5,7.0,13.0,11.0,6.0,11.0,12.0,31.0,29.0,30.0,1,0,0,1,1,0.6,1,0,0,0,0,0.2
2021-12-03 13:28:12,023,1,1,02413,04312,2.0,,2.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,38.16,68.22,41.76,554.0436,0.0,30.32,27.84,217.51839999999999,19.08,49.269999999999996,34.8,385.78099999999995,86.0,98.0,92.0,13.0,13.0,8.0,15.0,26.0,23.0,24.5,8.0,8.0,10.0,6.0,13.0,8.0,26.0,27.0,26.5,0,0,0,0,0,0.0,0,1,0,1,1,0.6
2021-12-04 13:20:08,024,1,0,02431,04321,1.0,,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,2.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,28.619999999999997,7.58,0.0,135.388,9.54,0.0,0.0,35.6796,19.08,3.79,0.0,85.5338,92.0,72.0,82.0,8.0,10.0,5.0,9.0,18.0,14.0,16.0,4.0,9.0,8.0,6.0,8.0,9.0,21.0,23.0,22.0,0,0,0,0,0,0.0,1,1,1,1,1,1.0
2021-12-06 11:04:28,025,1,1,01234,03124,1.0,,2.0,1.0,1.0,2.0,2.0,2.0,"Brettspiele, Kartenspiele",1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,38.16,30.32,83.52,568.48,47.699999999999996,53.06,83.52,689.2072,42.92999999999999,41.69,83.52,628.8435999999999,125.0,127.0,126.0,13.0,15.0,13.0,13.0,28.0,26.0,27.0,6.0,12.0,8.0,6.0,12.0,7.0,26.0,25.0,25.5,2,2,2,2,2,2.0,1,2,2,2,2,1.8
2021-12-07 10:54:18,026,1,0,01243,03142,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,28.619999999999997,22.740000000000002,0.0,192.0864,28.619999999999997,30.32,27.84,324.5572,28.619999999999997,26.53,13.92,258.3218,84.0,118.0,101.0,13.0,11.0,8.0,20.0,24.0,28.0,26.0,6.0,4.0,9.0,6.0,13.0,8.0,19.0,27.0,23.0,0,1,0,1,2,0.8,0,0,0,0,0,0.0
2021-12-07 13:07:30,027,1,1,01324,03214,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,Nintendo DS,2.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,38.16,37.9,41.76,440.6468,9.54,22.740000000000002,0.0,120.72720000000001,23.849999999999998,30.32,20.88,280.687,123.0,141.0,132.0,14.0,16.0,14.0,16.0,30.0,30.0,30.0,5.0,11.0,10.0,7.0,15.0,10.0,26.0,32.0,29.0,0,0,0,0,0,0.0,1,2,1,2,1,1.4
